Benchmark,Doi,Dataset,Type_of_dataset,Read_lenght,Number_of_reads,Tool,Recall_Sensitivity,Precision,F1,DatasetType,DatasetID,Is_Edgren,Is_real,Is_simulated
1,doi.org/10.1186/s13059-019-1842-9 ,Dataset1.1,simulated,50.0,30000000.0,Arriba,0.89,0.98,0.93,simulated,1.1,False,False,True
8,https://doi.org/10.1093/bioinformatics/btab249,Dataset8.1,simulated,50.0,30000000.0,Arriba,0.842,0.885,0.863,simulated,8.1,False,False,True
1,doi.org/10.1186/s13059-019-1842-9,Dataset1.3,real,,,Arriba,0.8,0.62,0.7,real,1.3,False,True,False
7,https://doi.org/10.1080/15476286.2021.1940047,Dataset7.2,simulated,50.0,64000000.0,Arriba,0.93,0.78,0.85,simulated,7.2,False,False,True
7,https://doi.org/10.1080/15476286.2021.1940047,Dataset7.4,simulated,101.0,31500000.0,Arriba,0.9,0.79,0.84,simulated,7.4,False,False,True
7,https://doi.org/10.1080/15476286.2021.1940047,Dataset7.1,simulated,75.0,307920.0,Arriba,0.84,0.63,0.72,simulated,7.1,False,False,True
7,https://doi.org/10.1080/15476286.2021.1940047,Dataset7.3,simulated,76.0,42000000.0,Arriba,0.91,0.77,0.83,simulated,7.3,False,False,True
7,https://doi.org/10.1080/15476286.2021.1940047,Dataset7.5,real,101.0,65000000.0,Arriba,0.1,0.1,0.1,real,7.5,False,True,False
7,https://doi.org/10.1080/15476286.2021.1940047,Dataset7.6,real,50.0,21500000.0,Arriba,0.82,0.14,0.24,real,7.6,True,True,False
7,https://doi.org/10.1080/15476286.2021.1940047,Dataset7.7,real,50.0,21500000.0,Arriba,0.46,0.29,0.35,real,7.7,True,True,False
1,doi.org/10.1186/s13059-019-1842-9 ,Dataset1.1,simulated,50.0,30000000.0,Arriba_hc,0.78,0.99,0.87,simulated,1.1,False,False,True
1,doi.org/10.1186/s13059-019-1842-9 ,Dataset1.2,simulated,101.0,30000000.0,Arriba,0.93,0.98,0.95,simulated,1.2,False,False,True
8,https://doi.org/10.1093/bioinformatics/btab249,Dataset8.6,simulated,101.0,65000000.0,Arriba,0.918,0.767,0.836,simulated,8.6,False,False,True
8,https://doi.org/10.1093/bioinformatics/btab249,Dataset8.3,real,,,Arriba,0.792,0.221,0.346,real,8.3,True,True,False
8,https://doi.org/10.1093/bioinformatics/btab249,Dataset8.4,real,,,Arriba,0.882,0.046,0.087,real,8.4,False,True,False
8,https://doi.org/10.1093/bioinformatics/btab249,Dataset8.7,real,,,Arriba,1.0,0.6,0.75,real,8.7,False,True,False
2,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC7919457/,Dataset2.1,simulated,75.0,40000000.0,Arriba,0.6,0.93,0.7294117647058824,simulated,2.1,False,False,True
2,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC7919457/,Dataset2.2,spike-in,101.0,154000000.0,Arriba,0.5,1.0,0.6666666666666666,spike-in,2.2,False,False,False
